"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"LIT","WN",226,0,245,0,734,1205
"LNK","EV",501,0,0,0,43,544
"LNK","OO",21,3,123,0,451,598
"LRD","EV",658,0,245,0,957,1860
"LSE","OO",764,33,183,0,131,1111
"LWS","OO",0,859,64,0,18,941
"MAF","EV",3,56,325,0,626,1010
"MAF","OO",36,0,262,0,320,618
"MAF","WN",62,116,104,0,719,1001
"MBS","OO",432,828,58,0,656,1974
"MCI","AA",406,0,128,0,272,806
"MCI","AS",38,0,131,0,112,281
"MCI","DL",1345,0,165,0,693,2203
"MCI","EV",191,0,104,0,599,894
"MCI","F9",20,0,162,0,501,683
"MCI","NK",240,0,1015,0,708,1963
"MCI","OO",75,15,913,0,504,1507
"MCI","UA",248,0,345,0,775,1368
"MCI","WN",2691,229,2563,0,4009,9492
"MCO","AA",2790,104,1981,104,5645,10624
"MCO","AS",56,124,244,0,177,601
"MCO","B6",7401,27,6218,67,7357,21070
"MCO","DL",3451,57,3865,0,2361,9734
"MCO","EV",33,0,0,0,113,146
"MCO","F9",2554,70,2608,0,3516,8748
"MCO","NK",1083,27,2816,0,2903,6829
"MCO","UA",2183,109,3958,0,1687,7937
"MCO","VX",5,89,502,0,152,748
"MCO","WN",3819,577,1778,9,7344,13527
"MDT","AA",24,0,15,0,0,39
"MDT","DL",0,0,89,0,0,89
"MDT","EV",121,0,30,0,0,151
"MDT","OO",13,0,93,0,618,724
"MDW","DL",64,45,41,0,133,283
"MDW","EV",277,0,0,0,439,716
"MDW","OO",40,0,6,0,162,208
"MDW","WN",9490,2966,8723,0,13499,34678
"MEI","EV",772,0,112,0,505,1389
"MEM","AA",913,0,251,0,384,1548
"MEM","DL",168,39,167,0,307,681
"MEM","EV",271,0,1402,0,733,2406
"MEM","F9",24,0,19,0,58,101
"MEM","OO",124,0,0,0,161,285
"MEM","UA",139,0,173,0,507,819
"MEM","WN",39,18,109,0,491,657
"MFE","AA",166,0,25,0,145,336
"MFE","EV",0,0,0,0,46,46
"MFE","UA",162,257,85,0,0,504
"MFR","OO",823,0,1280,0,520,2623
"MGM","EV",894,0,122,0,716,1732
"MHT","DL",292,26,27,0,0,345
"MHT","EV",1121,0,2706,0,510,4337
"MHT","WN",579,124,388,0,326,1417
"MIA","AA",18631,616,10272,34,11339,40892
"MIA","DL",2698,11,1778,0,2313,6800
"MIA","F9",286,0,827,0,743,1856
"MIA","OO",0,0,0,0,44,44
"MIA","UA",2099,6,3531,0,855,6491
"MKE","AA",61,19,150,0,194,424
"MKE","DL",572,0,136,0,163,871
"MKE","EV",160,0,1293,0,1012,2465
"MKE","F9",142,0,290,0,256,688
"MKE","OO",1507,23,716,0,1221,3467
"MKE","UA",538,0,311,0,287,1136
"MKE","WN",474,586,1671,0,1971,4702
"MKG","OO",66,0,210,0,274,550
"MLB","DL",4,0,61,0,223,288
"MLI","EV",446,0,42,0,315,803
"MLI","OO",144,178,57,0,259,638
"MLU","EV",1497,0,381,0,1547,3425
"MMH","OO",58,0,152,0,283,493
"MOB","DL",0,0,106,0,0,106
"MOB","EV",2394,0,414,0,1171,3979
"MOT","OO",1746,0,64,0,147,1957
"MQT","OO",967,0,135,0,253,1355
"MRY","OO",587,0,1084,0,1991,3662
"MSN","DL",286,196,196,0,246,924
"MSN","EV",171,0,367,0,217,755
"MSN","F9",23,0,37,0,21,81
"MSN","OO",3251,2,329,0,751,4333
"MSN","UA",149,0,333,0,325,807
"MSO","DL",33,295,75,0,213,616
"MSO","OO",1521,434,20,0,217,2192
"MSP","AA",817,199,871,0,1239,3126
"MSP","AS",168,0,245,0,74,487
"MSP","DL",7467,147,10280,0,2877,20771
"MSP","EV",695,0,435,0,966,2096
"MSP","F9",56,0,74,0,129,259
"MSP","NK",635,0,1613,0,1230,3478
"MSP","OO",6066,934,3505,0,3448,13953
