"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay","DLdelay","EVdelay","OOdelay","AAdelay","ASdelay","B6delay","F9delay","HAdelay","NKdelay","UAdelay","VXdelay","WNdelay"
"207","OME",9,33,37,0,343,422,0,0,0,0,422,0,0,0,0,0,0,0
"208","ONT",1978,548,4073,0,8433,15032,21,0,6704,982,798,0,0,0,0,289,0,6238
"209","ORD",63897,8438,52985,48,56856,182224,3725,24153,46784,35097,1189,2320,3318,0,7884,55839,1915,0
"210","ORF",2539,0,252,0,884,3675,467,580,1360,981,0,0,0,0,0,0,0,287
"211","ORH",83,6,12,0,335,436,0,0,0,0,0,436,0,0,0,0,0,0
"212","OTH",0,0,95,0,163,258,0,0,258,0,0,0,0,0,0,0,0,0
"213","OTZ",221,116,3,0,229,569,0,0,0,0,569,0,0,0,0,0,0,0
"214","PAH",60,0,320,0,117,497,0,0,497,0,0,0,0,0,0,0,0,0
"215","PBG",91,0,258,0,169,518,0,0,0,0,0,0,0,0,518,0,0,0
"216","PBI",6565,614,9581,88,11194,28042,5036,17,0,2561,0,12706,1057,0,955,3451,0,2259
"217","PDX",9668,1646,19653,11,19383,50361,4217,0,13160,1581,11372,951,623,227,938,8932,1744,6616
"218","PGD",281,0,58,0,438,777,0,0,0,0,0,0,777,0,0,0,0,0
"219","PHF",135,0,0,0,89,224,81,143,0,0,0,0,0,0,0,0,0,0
"220","PHL",11179,748,11605,4,12404,35940,1616,0,79,23151,378,1303,2100,0,1700,2897,0,2716
"221","PHX",24938,2539,24990,83,29938,82488,2336,0,12990,21545,2397,1019,3476,600,1184,5197,0,31744
"222","PIA",927,76,147,332,740,2222,0,784,1438,0,0,0,0,0,0,0,0,0
"223","PIB",162,0,340,0,206,708,0,708,0,0,0,0,0,0,0,0,0,0
"224","PIH",393,0,228,0,146,767,0,0,767,0,0,0,0,0,0,0,0,0
"225","PIT",3032,272,3275,0,4271,10850,655,763,1265,1870,0,660,851,0,0,742,0,4044
"226","PLN",70,0,64,0,151,285,0,0,285,0,0,0,0,0,0,0,0,0
"227","PNS",278,0,447,0,869,1594,456,779,0,0,0,0,0,0,0,0,0,359
"228","PPG",54,0,0,0,66,120,0,0,0,0,0,0,0,120,0,0,0,0
"229","PSC",1901,42,690,0,850,3483,0,0,3483,0,0,0,0,0,0,0,0,0
"230","PSE",8,0,82,0,93,183,0,0,0,0,0,183,0,0,0,0,0,0
"231","PSG",0,0,8,0,185,193,0,0,0,0,193,0,0,0,0,0,0,0
"232","PSP",4397,33,5025,18,6473,15946,104,0,10919,499,2262,406,0,0,0,814,942,0
"233","PVD",1970,596,1881,0,2303,6750,871,1330,185,749,0,598,0,0,0,0,0,3017
"234","PWM",153,855,1686,0,1280,3974,380,2035,0,388,0,713,0,0,0,0,0,458
"235","RAP",874,0,221,0,329,1424,0,0,1424,0,0,0,0,0,0,0,0,0
"236","RDD",28,0,493,0,689,1210,0,0,1210,0,0,0,0,0,0,0,0,0
"237","RDM",325,907,3012,0,1428,5672,0,0,5672,0,0,0,0,0,0,0,0,0
"238","RDU",10146,215,5876,14,8153,24404,1562,1048,528,9324,222,3785,1070,0,0,3274,0,3591
"239","RHI",0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0
"240","RIC",5614,0,2386,0,3413,11413,409,6387,1560,956,0,1888,0,0,0,0,0,213
"241","RKS",905,0,24,0,11,940,0,0,940,0,0,0,0,0,0,0,0,0
"242","RNO",4884,342,2926,0,5210,13362,336,0,6524,344,0,872,0,0,0,1106,0,4180
"243","ROA",854,0,193,0,715,1762,734,1028,0,0,0,0,0,0,0,0,0,0
"244","ROC",1110,49,1117,0,1455,3731,563,505,760,267,0,994,0,0,0,224,0,418
"245","ROW",334,0,16,0,61,411,0,0,411,0,0,0,0,0,0,0,0,0
"246","RST",475,1171,179,0,1145,2970,0,700,2270,0,0,0,0,0,0,0,0,0
"247","RSW",5014,268,7578,0,10025,22885,2416,0,125,1401,0,7137,476,0,3965,2857,0,4508
"248","SAF",592,0,184,0,398,1174,0,1094,80,0,0,0,0,0,0,0,0,0
"249","SAN",11548,4353,18675,35,42195,76806,3530,0,11489,6179,6017,1517,1077,423,752,12290,4567,28965
"250","SAT",4206,965,4621,0,6136,15928,1403,47,2498,2695,127,0,150,0,0,1370,0,7638
"251","SAV",953,193,1147,0,1756,4049,497,2108,0,0,0,1334,0,0,0,110,0,0
"252","SBA",1042,90,3202,0,4561,8895,0,0,8895,0,0,0,0,0,0,0,0,0
"253","SBN",1808,45,161,0,962,2976,0,165,2811,0,0,0,0,0,0,0,0,0
"254","SBP",1236,15,3172,4,2342,6769,0,0,6769,0,0,0,0,0,0,0,0,0
"255","SCC",38,66,62,0,421,587,0,0,0,0,587,0,0,0,0,0,0,0
"256","SCE",1231,328,96,0,184,1839,0,747,1092,0,0,0,0,0,0,0,0,0
"257","SDF",569,83,1392,0,1442,3486,385,1770,354,152,0,0,0,0,0,0,0,825
"258","SEA",38378,9917,44517,42,31241,124095,10906,0,29907,6012,52460,3234,838,1693,1815,6030,4699,6501
"259","SFO",56932,4523,30943,42,118162,210602,6351,0,57525,13292,7541,9464,4041,1500,0,62468,24224,24196
"260","SGF",46,0,126,0,961,1133,0,866,267,0,0,0,0,0,0,0,0,0
"261","SGU",1609,0,356,0,338,2303,0,0,2303,0,0,0,0,0,0,0,0,0
"262","SHV",2401,302,690,0,958,4351,35,4087,229,0,0,0,0,0,0,0,0,0
"263","SIT",16,16,134,0,219,385,0,0,0,0,385,0,0,0,0,0,0,0
"264","SJC",7983,1672,7009,12,18897,35573,3631,0,3214,825,2973,1438,0,462,0,1195,0,21835
"265","SJU",4426,8,2992,25,8533,15984,364,0,0,3485,0,7632,0,0,413,3462,0,628
"266","SLC",21648,4693,20643,30,18645,65659,24164,0,22612,2476,1738,3141,767,0,0,3040,0,7721
"267","SMF",9010,642,8166,0,16059,33877,1270,0,10034,1305,1412,1082,0,149,0,2754,0,15871
"268","SNA",6809,791,7133,10,14815,29558,1456,0,1640,2676,2460,0,255,0,0,6237,0,14834
"269","SPI",30,0,77,0,314,421,0,160,261,0,0,0,0,0,0,0,0,0
"270","SPS",717,0,56,0,212,985,0,985,0,0,0,0,0,0,0,0,0,0
"271","SRQ",1037,0,444,0,862,2343,1010,0,0,0,0,714,0,0,0,619,0,0
"272","STL",7639,860,8303,0,9961,26763,841,4574,3279,4090,194,0,1111,0,0,99,0,12575
"273","STS",21,0,5,0,19,45,0,0,45,0,0,0,0,0,0,0,0,0
"274","STT",1915,179,801,0,3349,6244,129,0,0,3379,0,1134,0,0,310,1292,0,0
"275","STX",187,0,36,0,242,465,0,0,0,223,0,242,0,0,0,0,0,0
"276","SUN",55,100,512,0,778,1445,0,0,1445,0,0,0,0,0,0,0,0,0
"277","SWF",79,0,304,0,524,907,0,0,93,0,0,814,0,0,0,0,0,0
"278","SYR",567,136,945,0,895,2543,107,34,720,70,0,1612,0,0,0,0,0,0
"279","TLH",407,7,61,0,743,1218,257,961,0,0,0,0,0,0,0,0,0,0
"280","TPA",12701,924,8743,12,18499,40879,5989,0,0,6653,207,5019,2118,0,4739,5726,0,10428
"281","TRI",408,0,15,0,720,1143,0,1143,0,0,0,0,0,0,0,0,0,0
"282","TTN",576,77,40,0,2527,3220,0,0,0,0,0,0,3220,0,0,0,0,0
"283","TUL",2110,0,939,0,1739,4788,142,1931,995,618,0,0,0,0,0,280,0,822
"284","TUS",4235,825,5221,14,4924,15219,334,250,8795,1442,55,0,0,0,0,110,0,4233
"285","TVC",699,158,239,0,1641,2737,0,229,2508,0,0,0,0,0,0,0,0,0
